Data de Visita,Cidade,Estado,País,Motivo da Visita,Estado Civil,Nível de Escolaridade,Faixa Salarial,Faixa Etária,Filhos,Faixa Etária dos Filhos,Local Visitado,PCD,Tipo de Deficiência,Necessidade de Acessibilidade,Avaliação,Horário da Visita
2024-06-27,Rio de Janeiro,RJ,Brasil,Aventura,Solteiro(a),Ensino Fundamental,Até 1 salário mínimo,Prefiro não responder,Não,Não se aplica,Marco das Três Fronteiras,Não,Não,Não,1,03:34:53
2024-01-25,São Paulo,SP,Brasil,Cultura,Divorciado(a),Ensino Fundamental,Até 1 salário mínimo,Prefiro não responder,Sim,13-17,Marco das Três Fronteiras,Não,Não,Não,0,20:35:19
2024-10-21,Manaus,AM,Brasil,Aventura,Prefiro não responder,Ensino Fundamental,Até 1 salário mínimo,46-55,Sim,0-5,Parque das Aves,Sim,Deficiência Intelectual,Rampa de Acesso,2,23:03:11
2024-01-02,Brasília,DF,Brasil,Trilha,Viúvo(a),Pós-Graduação,Acima de 5 salários mínimos,26-35,Não,Não se aplica,Usina de Itaipu,Não,Não,Não,2,00:41:54
2024-05-07,Curitiba,PR,Brasil,Trilha,Casado(a),Ensino Médio,1 a 3 salários mínimos,46-55,Não,Não se aplica,Usina de Itaipu,Não,Não,Não,5,12:14:15
2024-02-20,Belém,PA,Brasil,Aventura,Viúvo(a),Ensino Médio,1 a 3 salários mínimos,18-25,Sim,0-5,Marco das Três Fronteiras,Sim,Deficiência Visual,Acompanhamento/Suporte,1,07:36:52
2024-03-18,Brasília,DF,Brasil,Cultura,Divorciado(a),Ensino Fundamental,Até 1 salário mínimo,36-45,Não,Não se aplica,Parque das Aves,Sim,Deficiência Auditiva,Não,5,21:39:21
2024-02-03,Recife,PE,Brasil,Ecoturismo,Viúvo(a),Ensino Médio,1 a 3 salários mínimos,36-45,Não,Não se aplica,Parque das Aves,Não,Não,Não,1,11:17:00
2024-06-23,Brasília,DF,Brasil,Trilha,Prefiro não responder,Ensino Médio,1 a 3 salários mínimos,Prefiro não responder,Não,Não se aplica,Parque das Aves,Sim,Deficiência Auditiva,Rampa de Acesso,0,05:22:49
2024-10-20,São Paulo,SP,Brasil,Aventura,Solteiro(a),Ensino Fundamental,Até 1 salário mínimo,36-45,Não,Não se aplica,Parque das Aves,Não,Não,Não,0,10:16:53
2024-07-25,Salvador,BA,Brasil,Cultura,Casado(a),Ensino Superior,3 a 5 salários mínimos,Prefiro não responder,Sim,0-5,Usina de Itaipu,Não,Não,Não,0,00:49:04
2024-05-08,Belo Horizonte,MG,Brasil,Aventura,Divorciado(a),Ensino Médio,1 a 3 salários mínimos,18-25,Sim,18+,Marco das Três Fronteiras,Sim,Autismo,Informações em braille,1,01:22:42
2024-06-16,Belém,PA,Brasil,Lazer,Viúvo(a),Ensino Fundamental,Até 1 salário mínimo,36-45,Não,Não se aplica,Marco das Três Fronteiras,Sim,Deficiência Visual,Banheiros Acessíveis,0,07:17:09
2024-08-07,Recife,PE,Brasil,Negócios,Viúvo(a),Ensino Superior,3 a 5 salários mínimos,50+,Sim,0-5,Usina de Itaipu,Sim,Não,Interpretação em Libras,2,10:54:23
2024-08-27,Recife,PE,Brasil,Cultura,Prefiro não responder,Ensino Médio,1 a 3 salários mínimos,Prefiro não responder,Sim,13-17,Marco das Três Fronteiras,Sim,Autismo,Guias de áudio,4,02:28:53
2024-05-30,Recife,PE,Brasil,Lazer,Solteiro(a),Ensino Médio,1 a 3 salários mínimos,36-45,Não,Não se aplica,Parque das Aves,Não,Não,Não,4,10:36:17
2024-05-28,Brasília,DF,Brasil,Trilha,Solteiro(a),Ensino Superior,3 a 5 salários mínimos,26-35,Sim,18+,Usina de Itaipu,Não,Não,Não,4,18:25:15
2024-03-01,Porto Alegre,RS,Brasil,Cultura,Casado(a),Ensino Fundamental,Até 1 salário mínimo,50+,Não,Não se aplica,Marco das Três Fronteiras,Sim,Deficiência Intelectual,Acompanhamento/Suporte,2,13:12:48
2024-05-09,Recife,PE,Brasil,Trilha,Prefiro não responder,Pós-Graduação,Acima de 5 salários mínimos,18-25,Não,Não se aplica,Parque das Aves,Não,Não,Não,1,06:28:17
2024-02-04,Foz do Iguaçu,PR,Brasil,Aventura,Prefiro não responder,Ensino Fundamental,Até 1 salário mínimo,26-35,Sim,0-5,Marco das Três Fronteiras,Sim,Não,Informações em braille,4,18:36:33
2024-06-07,Fortaleza,CE,Brasil,Cultura,Prefiro não responder,Ensino Superior,3 a 5 salários mínimos,50+,Não,Não se aplica,Parque das Aves,Sim,Deficiência Física,Informações em braille,1,20:58:04
2024-01-01,Goiânia,GO,Brasil,Ecoturismo,Solteiro(a),Ensino Médio,1 a 3 salários mínimos,26-35,Não,Não se aplica,Marco das Três Fronteiras,Sim,Deficiência Auditiva,Informações em braille,2,00:01:38
